config,n_features,drop_idxs,drop_features,mean_f1m,std_f1m,median_f1m,min_f1m,max_f1m,mean_pr_auc,std_pr_auc,mean_binary_f1,mean_accuracy,mean_roc_auc,n_collapsed_seeds,median_best_epoch,loo_cumulative_predicted_delta_f1m,delta_f1m_vs_27baseline,actual_minus_loo
27_baseline,27,,,0.8205129608777384,0.005210612960798316,0.8187966333958112,0.8125213371952174,0.8267954843613463,0.9051610495690989,0.005002895156922287,0.8044168410317312,0.8219696969696969,0.8623618065640924,0,17,0,0.0,0.0
26_-function,26,1,function,0.8201117988591454,0.006411511027446106,0.8200547139273092,0.8100769620990251,0.8275375121752957,0.9064963788625612,0.005229354058550333,0.804856867065247,0.8214452214452214,0.8633602282807267,0,17,0,-0.00040116201859297096,-0.00040116201859297096
"25_-function,-setpoint",25,1;3,function;setpoint,0.8251381860899987,0.013889099165804396,0.8359168820382806,0.8036342817987612,0.8366704986588027,0.9043529538287668,0.004443343276936074,0.8092777389451395,0.8266317016317016,0.8620947412687899,0,18,-0.000401,0.0046252252122602755,0.005026225212260276
"24_-function,-setpoint,-cmd_count_w",24,1;3;22,function;setpoint;cmd_count_w,0.7990184272100377,0.027580657527908885,0.8119531801107249,0.7578687443444119,0.8278858309482218,0.8997759478169967,0.011271447460263203,0.7733852422845182,0.8025641025641026,0.8508998598784026,1,13,-0.00013499999999999997,-0.02149453366770071,-0.02135953366770071
"23_-function,-setpoint,-cmd_count_w,-crc_mean_w",23,1;3;22;20,function;setpoint;cmd_count_w;crc_mean_w,0.82655154012952,0.005602675420978253,0.8281885250383827,0.8168156200797232,0.8338585665406625,0.9044488764603189,0.006553442664143857,0.810952953513333,0.827972027972028,0.8633496042373588,0,19,0.00042800000000000005,0.0060385792517816395,0.005610579251781639
"22_-function,-setpoint,-cmd_count_w,-crc_mean_w,-press_mean_w",22,1;3;22;20;19,function;setpoint;cmd_count_w;crc_mean_w;press_mean_w,0.81005097959161,0.012625928593854665,0.8159654952033917,0.7855828580685164,0.8191274850950091,0.896098872720227,0.00728164585199493,0.789965837906146,0.8121794871794872,0.8528173294492012,1,18,0.0014629999999999999,-0.010461981286128408,-0.011924981286128407
"21_-function,-setpoint,-cmd_count_w,-crc_mean_w,-press_mean_w,-length",21,1;3;22;20;19;2,function;setpoint;cmd_count_w;crc_mean_w;press_mean_w;length,0.7984416995663335,0.037557680661695916,0.8122469766449228,0.7373289674474095,0.8389023923967664,0.8819120452144,0.00826415484750025,0.7772956668049357,0.8008158508158509,0.839295237738509,2,10,0.00498,-0.02207126131140491,-0.02705126131140491
