name,n_features_per_step,n_params,best_epoch,epochs_max,train_time_s,test_macro_f1,test_binary_f1,test_accuracy,test_roc_auc,test_pr_auc
A_17v1_44dim_oh,44,79321,32,35,64.2,0.8334057466922592,0.8199112238427394,0.8344988344988346,0.8587896081873236,0.9025055897501868
B_19v2_row,19,72921,35,35,65.3,0.8398278987586155,0.8285803823252899,0.8406177156177156,0.8679923452405478,0.8891750089226933
C_27v2_full,27,74969,17,35,41.1,0.8267954843613463,0.8136234626300851,0.8277972027972028,0.8609331451424798,0.8988577654015886
