config,type,test_f1m,test_pr_auc,val_f1m,best_val_epoch,train_time_s
5-Seed Ensemble,ensemble,0.8559615527736912,0.9137447057815373,0.881909271085664,,122.53511719703674
seed=42,single,0.8450235358108302,0.8960554258937786,0.8647875641938361,39.0,130.78401494026184
seed=123,single,0.8593024865896173,0.9163325720897298,0.8803892339544513,39.0,130.02058386802673
seed=456,single,0.8521664365358127,0.9196560740480831,0.8796322499655325,39.0,130.71163988113403
seed=789,single,0.8485003737688892,0.9099411643241879,0.8698097225951171,36.0,111.79363107681274
seed=1024,single,0.8606761512682953,0.9226721469715942,0.8851262939958593,37.0,105.95558953285217
