channels,n_params,n_blocks,crashed,best_val_f1m,best_val_epoch,best_threshold,test_f1m,test_binary_f1,test_pr_auc,test_acc,train_time
8,2269,3,False,0.8653170666772698,38,0.5000000000000002,0.847926267281106,0.8387096774193549,0.9146379369562553,0.8484848484848485,42.078328132629395
12,4085,3,False,0.8745420234837115,30,0.5000000000000002,0.8591951821651862,0.8520564763658687,0.9216460915233649,0.8595571095571095,53.06726050376892
16,6381,3,False,0.875363461276981,40,0.48000000000000026,0.8628053292471372,0.8569689592209373,0.929026704880588,0.8630536130536131,59.992000102996826
24,12413,3,False,0.8830584707646176,27,0.5300000000000002,0.8645219514784732,0.8583638583638583,0.9151589974071632,0.8648018648018648,62.575886726379395
