seed,Accuracy,Precision,Recall,F1-Score
42,0.8557692307692307,0.9529737206085753,0.7634349030470914,0.8477391571824054
123,0.8479020979020979,0.9366916269571137,0.7623268698060942,0.8405620036652413
456,0.8677156177156177,0.9542703429724277,0.7861495844875346,0.862089914945322
789,0.8712121212121212,0.9534264803725881,0.7939058171745152,0.8663845223700121
1024,0.8021561771561772,0.8379351740696278,0.7734072022160665,0.8043791414577931
