name,n_features_per_step,n_params,best_epoch,epochs_max,train_time_s,test_macro_f1,test_binary_f1,test_accuracy,test_roc_auc,test_pr_auc
A_17v1_44dim_oh,44,79321,20,20,33.6,0.8143218853470102,0.7945205479452054,0.8164335664335665,0.8562120858708737,0.9000262925204345
B_19v2_row,19,72921,20,20,35.3,0.8269590151536098,0.8112784363985902,0.8283799533799534,0.8640956708725847,0.9035329726367493
C_27v2_full,27,74969,17,20,37.0,0.8267954843613463,0.8136234626300851,0.8277972027972028,0.8609331451424798,0.8988577654015886
