lr,best_val_f1m,best_val_epoch,best_threshold,test_f1m,test_binary_f1,test_pr_auc,test_acc,train_time_s
0.0001,0.8289154224105126,30,0.38000000000000006,0.8123173821972179,0.7925757082383589,0.9034396356385376,0.8143939393939394,109.5641839504242
0.0003,0.8740051189686227,38,0.49000000000000016,0.8531068821580565,0.8461303150810645,0.8973649410656364,0.8534382284382285,114.31753611564636
0.0005,0.8647875641938361,39,0.5100000000000002,0.8450235358108302,0.8358116480793061,0.8960554258937786,0.8455710955710956,113.57001256942749
0.001,0.8872983916029813,37,0.48000000000000015,0.8634749717374859,0.8587809293904647,0.8989284376363278,0.8636363636363636,113.98696947097778
0.002,0.8855131316132653,24,0.46000000000000013,0.8719270505576215,0.8674116581093325,0.9042824611543757,0.872086247086247,97.29926800727844
