config,full_name,batch,epochs,scheduler,best_val_epoch,best_val_f1m,test_macro_f1,test_pr_auc,test_binary_f1,test_accuracy,test_roc_auc,train_time_s
Original,"Original B=512, ep=35 ReduceLROnPlateau",512,35,ReduceLROnPlateau,35,0.8523,0.8443832978715788,0.8891750089226933,0.8346799254195152,0.844988344988345,0.8679923452405478,59.20284175872803
Cosine 50,"Cosine 50 B=512, ep=50 CosineAnnealing",512,50,CosineAnnealingWarmRestarts,50,0.8617244157937147,0.8422136137244051,0.8925907268746017,0.8338461538461538,0.8426573426573427,0.8683662298436869,94.98391103744507
B=128 (NEW),"Small Batch ⭐ B=128, ep=40 ReduceLROnPlateau",128,40,ReduceLROnPlateau,40,0.8861480232456208,0.8655143035427966,0.9121845268824884,0.8608511922728644,0.8656759906759907,0.8922102266632841,124.31317687034607
