method,view,Accuracy,Precision,Recall,F1-Score
M1 Simple average,5fold_cv_test,0.8551864801864801,0.9573426573426573,0.7584487534626039,0.8463678516228748
"M2 Weighted average (SLSQP, 5-fold CV)",5fold_cv_test,0.8589743589743589,0.9577269577269577,0.7656509695290858,0.8509852216748769
"M2 Weighted average (SLSQP, 5-fold CV)",full_test_insample,0.8589743589743589,0.9577269577269577,0.7656509695290858,0.8509852216748769
"M3 LR stacking (L2, 5-fold CV + inner C selection)",5fold_cv_test,0.8875291375291375,0.9481996209728364,0.8315789473684211,0.8860684769775679
"M3 LR stacking (L2, 5-fold CV + inner C selection)",full_test_insample,0.8898601398601399,0.9495904221802143,0.8349030470914127,0.8885613207547169
