channels,n_params,best_val_f1m,best_val_epoch,best_threshold,test_f1m,test_binary_f1,test_pr_auc,test_acc,train_time
32,20365,0.889540129188604,24,0.4300000000000002,0.8707492876604002,0.8660417296643483,0.9272471162771344,0.870920745920746,53.82753586769104
48,42611,0.8899921141300452,23,0.5000000000000002,0.869270482603816,0.8642424242424243,0.9329126876283651,0.8694638694638694,67.36991834640503
64,72921,0.8855131316132653,24,0.46000000000000024,0.8719270505576215,0.8674116581093325,0.9042824611543757,0.872086247086247,85.51102566719055
80,111295,0.8903476707434382,28,0.5100000000000002,0.8702256028696453,0.8664064845391775,0.9152011942650274,0.8703379953379954,113.71359872817993
96,157733,0.8908387562646677,23,0.4400000000000002,0.8714170258140062,0.8680825605743344,0.9181045855463452,0.8715034965034965,121.28737044334412
128,274801,0.8993501782765061,32,0.4300000000000002,0.8729289143378895,0.8709295441089402,0.9209184550432497,0.872960372960373,204.00188636779785
