name,n_features_per_step,n_params,best_epoch,train_time_s,test_macro_f1,test_binary_f1,test_accuracy,test_roc_auc,test_pr_auc
A_17v1_raw_int,17,72409,20,32.9,0.800178527687467,0.7763070814030444,0.803030303030303,0.8523554219226454,0.8967863096815898
B_17v1_44_onehot,44,79321,20,35.1,0.8143218853470102,0.7945205479452054,0.8164335664335665,0.8562120858708737,0.9000262925204345
C_19v2_protocol,19,72921,20,35.8,0.8269590151536098,0.8112784363985902,0.8283799533799534,0.8640956708725847,0.9035329726367493
D_27v2_full,27,74969,17,37.9,0.8267954843613463,0.8136234626300851,0.8277972027972028,0.8609331451424798,0.8988577654015886
